lambda_nm, R, T, A
523.664	0.276556	0.150476	0.572968
517.736	0.293694	0.133535	0.572771
511.94	0.299356	0.124528	0.576117
506.273	0.291981	0.121747	0.586272
500.73	0.275056	0.122039	0.602906
495.307	0.253775	0.122475	0.62375
490	0.233213	0.121078	0.645709
484.806	0.217044	0.117139	0.665817
479.72	0.206715	0.111206	0.682079
474.74	0.201604	0.104514	0.693882
469.863	0.200025	0.0981601	0.701815
465.085	0.200271	0.0926718	0.707057
460.403	0.201151	0.0880972	0.710751
455.814	0.202064	0.0842604	0.713675
451.316	0.202833	0.080916	0.716251
446.906	0.203505	0.0778206	0.718675
442.581	0.204202	0.074793	0.721005
438.339	0.205045	0.0717548	0.7232
434.177	0.206132	0.0687116	0.725157
430.094	0.207549	0.0656976	0.726753
426.087	0.209374	0.0627446	0.727881
422.154	0.21164	0.0599086	0.728452
418.293	0.214294	0.0573501	0.728356
414.502	0.217062	0.0556934	0.727245
410.778	0.221641	0.0575383	0.720821
407.122	0.225429	0.0569838	0.717587
403.529	0.228333	0.0573849	0.714282
400	0.234226	0.0672123	0.698561
lambda_nm, R, T, A
700	0.769854	0.0987916	0.131354
689.447	0.886705	0.0252337	0.0880617
679.208	0.927476	0.00392277	0.0686009
669.268	0.937257	0.0016352	0.0611082
659.615	0.933151	0.00724552	0.0596039
650.237	0.920773	0.0172736	0.0619536
641.121	0.900907	0.0310117	0.0680816
632.258	0.871788	0.0489723	0.0792397
623.636	0.828827	0.0724938	0.0986796
615.247	0.764405	0.103197	0.132398
607.08	0.66949	0.139254	0.191256
599.127	0.554529	0.165751	0.27972
591.379	0.486297	0.151615	0.362088
583.83	0.51017	0.117905	0.371925
576.471	0.553606	0.100043	0.346351
569.295	0.550247	0.10203	0.347723
562.295	0.51031	0.121565	0.368125
555.466	0.445322	0.149525	0.405153
548.8	0.368812	0.176542	0.454646
542.292	0.300948	0.192309	0.506743
535.938	0.262464	0.190031	0.547505
529.73	0.259294	0.172471	0.568236
523.664	0.276556	0.150476	0.572968
517.736	0.293694	0.133535	0.572771
511.94	0.299356	0.124528	0.576117
506.273	0.291981	0.121747	0.586272
500.73	0.275056	0.122039	0.602906
495.307	0.253775	0.122475	0.62375
490	0.233213	0.121078	0.645709
484.806	0.217044	0.117139	0.665817
479.72	0.206715	0.111206	0.682079
474.74	0.201604	0.104514	0.693882
469.863	0.200025	0.0981601	0.701815
465.085	0.200271	0.0926718	0.707057
460.403	0.201151	0.0880972	0.710751
455.814	0.202064	0.0842604	0.713675
451.316	0.202833	0.080916	0.716251
446.906	0.203505	0.0778206	0.718675
442.581	0.204202	0.074793	0.721005
438.339	0.205045	0.0717548	0.7232
434.177	0.206132	0.0687116	0.725157
430.094	0.207549	0.0656976	0.726753
426.087	0.209374	0.0627446	0.727881
422.154	0.21164	0.0599086	0.728452
418.293	0.214294	0.0573501	0.728356
414.502	0.217062	0.0556934	0.727245
410.778	0.221641	0.0575383	0.720821
407.122	0.225429	0.0569838	0.717587
403.529	0.228333	0.0573849	0.714282
400	0.234226	0.0672123	0.698561
